path,result_root,model,split,seed,recorder_id,best_epoch,valid_best_ICIR,IC_mean,IC_std,ICIR,RankIC_mean,RankIC_std,RankICIR,annual_return,annual_vol,sharpe,max_drawdown,turnover,n_days
tables/seed100_gpu_fdg/fdg_skip32_csi300_recent_seed89.json,seed100_gpu_fdg,fdg_skip32,recent,89,,10,0.33620562842257623,0.04104191359153931,0.11954571514053688,0.3433156390698805,0.023271236635066708,,0.19426933365540044,0.29417222713662516,0.2402997471981685,1.19332865572769,-0.3264078331941568,0.6383537263626256,
tables/seed100_gpu_fdg/fdg_skip32_csi300_recent_seed9.json,seed100_gpu_fdg,fdg_skip32,recent,9,,6,0.41052154592801804,0.04013599490398975,0.12074270890504551,0.33240926320075775,0.017629227914548393,,0.1457177285014566,0.28908224319669307,0.23321452174887067,1.2053610251404296,-0.30159983860356787,0.6690989988876535,
tables/seed100_gpu_fdg/fdg_skip32_csi300_recent_seed90.json,seed100_gpu_fdg,fdg_skip32,recent,90,,5,0.3587361131106184,0.03642905251933659,0.11026365249786887,0.3303813332325507,0.0242708521359771,,0.22907528660760654,0.23112544694982518,0.2071410955375754,1.1073363983859497,-0.25710174570351974,0.6452057842046722,
tables/seed100_gpu_fdg/fdg_skip32_csi300_recent_seed91.json,seed100_gpu_fdg,fdg_skip32,recent,91,,7,0.3430471089474423,0.0389867251875711,0.12959969311373817,0.30082420915422925,0.013523380307240021,,0.0959010197926743,0.21283931298380887,0.25803438418619323,0.8768655640273074,-0.3338879226939977,0.6202002224694108,
tables/seed100_gpu_fdg/fdg_skip32_csi300_recent_seed92.json,seed100_gpu_fdg,fdg_skip32,recent,92,,12,0.3305177759586225,0.03670588650270721,0.1417110385929929,0.25901924696303924,0.014292840094542215,,0.0972328615221236,0.25998226772672894,0.26215987139438385,1.0128715583435894,-0.35350144241964454,0.6030923248053396,
tables/seed100_gpu_fdg/fdg_skip32_csi300_recent_seed93.json,seed100_gpu_fdg,fdg_skip32,recent,93,,2,0.33906156827192496,0.03227474393132458,0.10346217614002454,0.31194727518242327,0.014187303443678056,,0.1313549296490684,0.18421014875816977,0.2255882999524306,0.8625470570364782,-0.2585581039070354,0.6583982202447167,
tables/seed100_gpu_fdg/fdg_skip32_csi300_recent_seed94.json,seed100_gpu_fdg,fdg_skip32,recent,94,,8,0.3336397548328034,0.041260825960405145,0.11938339413508818,0.34561612407933795,0.022271749575427453,,0.1786778396363993,0.2980073084895132,0.23377467784860745,1.2329270612592391,-0.17880246743121253,0.6607341490545052,
tables/seed100_gpu_fdg/fdg_skip32_csi300_recent_seed95.json,seed100_gpu_fdg,fdg_skip32,recent,95,,22,0.385498275689893,0.04091717501975392,0.11758301109109803,0.3479854329300441,0.014117137854961511,,0.13743045193499118,0.3350971796054085,0.25285973490136826,1.2694676808223015,-0.3557161806026794,0.6435595105672974,
tables/seed100_gpu_fdg/fdg_skip32_csi300_recent_seed96.json,seed100_gpu_fdg,fdg_skip32,recent,96,,10,0.3306094429843477,0.03777594127907606,0.12108580649986539,0.31197662526299524,0.027802296496845857,,0.22367031516351463,0.231234339483398,0.2277106635014638,1.0273632924672194,-0.2718236365474914,0.6957953281423808,
tables/seed100_gpu_fdg/fdg_skip32_csi300_recent_seed97.json,seed100_gpu_fdg,fdg_skip32,recent,97,,8,0.33611499342756457,0.03944458664799269,0.12135671293148434,0.32503011737193593,0.023143050783728823,,0.18112333380395582,0.2969012503353632,0.2215379841680134,1.2843893293646769,-0.22642762893521573,0.6631590656284764,
tables/seed100_gpu_fdg/fdg_skip32_csi300_recent_seed98.json,seed100_gpu_fdg,fdg_skip32,recent,98,,8,0.33776721263441783,0.03704397519806445,0.11925722596822315,0.3106224792444447,0.01821462243120402,,0.16416510833797773,0.24523551307925628,0.2302371238960544,1.0678374886996511,-0.30383691049356154,0.6799555061179092,
