,factor_00,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15,factor_16,factor_17,factor_18,factor_19,factor_20,factor_21,factor_22,factor_23,factor_24,factor_25,factor_26,factor_27,factor_28,factor_29,factor_30,factor_31
sh600050,0.011649657223565054,0.05637697879744411,0.0033624803954722298,0.0029722469023257267,0.0005035463320428457,0.0014241901646362192,0.2711555839645838,0.0010577085948392717,0.00470042526972893,0.006081814639330106,0.0005412364999998267,0.008579601307556212,0.002280093593227313,0.0019355359008084232,0.0020506795533190778,0.0014638873090575644,0.027618440183526084,0.002800257553055072,0.000781389961698936,0.005041109361314581,0.005638040094308901,0.05721273851422278,0.0085684357162253,0.0018291146142940533,0.0014249901509601891,0.4630393312430861,0.042183240484223485,0.0007650872419625766,0.00180958618297355,0.001448314988696879,0.0017161728945746084,0.0019880858946817325
sh600058,0.008321130283210564,0.04884576089221839,0.005760090805955845,0.005463291436228661,0.0005397225237064094,0.0028326411661396,0.23705430801839764,0.0016013384320411796,0.006395567640609971,0.005396799566079076,0.0009059462899441526,0.010140758945704894,0.0031818105826131515,0.0029287298469280404,0.0032885081577978758,0.0015041087166657097,0.024195100083869738,0.0039693189713464515,0.0010847953446753071,0.008039625504483325,0.008570164843436971,0.04524116854190591,0.004064571517038277,0.0032067711260388315,0.0016601650213893993,0.49929768072827585,0.04357269520078786,0.0016184249727407298,0.002704244853211892,0.0020039208587101396,0.0029726973823005916,0.003638140398153697
sh600060,0.0029711973677491164,0.029437062638622304,0.0016964429235141105,0.0016022415195150483,9.179027500105799e-05,0.0009094652507400565,0.12947041824311514,0.0005993071535145804,0.004958260035812713,0.0029023529207442317,0.0006273004324090301,0.03400386131431935,0.0013018032527006515,0.0019096370557545137,0.0019684625661759367,0.0013213897266932933,0.03178533362599792,0.00345202029068066,0.00024145691793036242,0.0029583579223416688,0.006494310328796442,0.02587579608046244,0.007190631215061521,0.007898462687274458,0.0010047586651729511,0.6785647489237392,0.014252307033571792,0.0005370306398347498,0.000696957420712016,0.0010277388133394334,0.0012927285186363595,0.0009563732116580439
sh600061,0.00957901109623037,0.08021305748355746,0.003681553109382027,0.00328803670043729,0.000502417930117912,0.0016078135616011521,0.28003705765435033,0.0011303120210092727,0.0049763663878490474,0.007955357394678331,0.00092443516982756,0.0058089723442379055,0.0026990966101134916,0.0023240556492106997,0.002414479676544739,0.0009886246960838126,0.019255342282718683,0.0013270844582956678,0.0009229949901469092,0.004268001388457647,0.007815562550785993,0.06144876639795673,0.006687260335252739,0.002317114864505235,0.0017291523567056423,0.44889426996668275,0.026823453258964403,0.0008993943036034401,0.001458254333575071,0.002578855634200834,0.0021982562808085457,0.0032455914715721467
sh600062,0.005405364805480884,0.031646851936746316,0.005576452842422609,0.0031707976357878993,0.00038552330737985456,0.002860481372278926,0.23775687554573183,0.0012443931530332238,0.004933323058515371,0.005319963144445233,0.0009218519547756813,0.01727061015920363,0.004888766726100955,0.005698010802641344,0.0030009823734809394,0.002636353920321642,0.04287881322954302,0.018990239018302216,0.0007209755540366185,0.00431461004275172,0.019676015222007178,0.045790855922600765,0.00431893376258783,0.003909794496555981,0.0017979191000956796,0.4708138901166232,0.0429186672823397,0.0020014884301909753,0.0019233119975704744,0.0031727939100324393,0.00214793976583637,0.0019071484971356053
sh600066,0.00425884084140239,0.024753719016154824,0.0015284315879759316,0.0030302365927777886,0.0001488048479019531,0.0015016767288688147,0.17199400838796433,0.0006608904927411322,0.004366855689054734,0.003442775673231922,0.000471526662314972,0.01615075629950621,0.0011887465114383772,0.0021029732254602574,0.0016720682416406778,0.0007580707653969471,0.02856941070972153,0.001955404941276061,0.00031616563633932865,0.0032913606498416645,0.0047887834790231445,0.0313379269929032,0.005850891486920568,0.0059229234225983895,0.0014080673752437476,0.6466920512693343,0.025232037770697383,0.0006382068878287282,0.0007922741025871654,0.0013125065393176957,0.0018244366531445528,0.002037176253303705
sh600079,0.0032751565415363947,0.03593269202520774,0.0023980960934440907,0.0020439516709031525,0.00016488169588787464,0.0016513996902700451,0.13796376377826758,0.0008891691578819418,0.005066964059700782,0.0036555314943064153,0.0006218898247222206,0.033840530698713865,0.0011425413976169664,0.0017803641480256302,0.0020945711465937575,0.0007697558684770606,0.03235944631584749,0.0025384308076451096,0.0004471106504798329,0.0038469104118764638,0.007122384637041272,0.03689311261274505,0.006857787123928645,0.008133763990403733,0.002200943020932262,0.6390297484352715,0.021135791697536037,0.0006270848045403064,0.0012655971646240122,0.0013405010473273363,0.001280251588535054,0.0016298777680666284
sh600085,0.008026104478720568,0.04736239387011695,0.0029582883801409746,0.002330104406992135,0.0003614398241503466,0.0014199981610741685,0.21823511909486515,0.0012212303165954376,0.0060358843810766295,0.006867869709531388,0.001068457690194512,0.016128381306653377,0.0018821044227372956,0.0018164609253668868,0.0025741708197041554,0.0011588038145411235,0.0295048536129458,0.0029300468778518975,0.0006696814160978626,0.0044969035937733725,0.008698354454219471,0.05363276381054302,0.01043956999074371,0.008777954466734536,0.002272985161660364,0.527512213592301,0.02218513922892095,0.0008116219181631034,0.0016507661134706473,0.002529620719473859,0.0017660205889907321,0.0026746940523854667
sh600088,0.008361317754200421,0.026317323764078002,0.003688905184615264,0.004298815438142941,0.0005881709160023646,0.004307852168557073,0.2638949856507948,0.0015491896589627009,0.006157129349554949,0.0036681084118099015,0.0015414202059216753,0.016197032976392606,0.004089097536512683,0.004231877156806915,0.0028721168581648327,0.0014862128864917582,0.04155387139756113,0.017121437221858014,0.0007243079311427344,0.007531552457774436,0.013805951974790714,0.03038944116913966,0.00224007356394848,0.0019086351387773597,0.0018225245796114576,0.4563847887355899,0.04954946167437904,0.0027864209082792903,0.009937012756173987,0.0037368854061978598,0.004200818151903359,0.0030572592307487167
sh600089,0.007547672151440181,0.06484396872822731,0.003780159188978113,0.0035087287096654657,0.0005898171257818354,0.0014922098324514715,0.3111184890311444,0.0011755554478197392,0.004940192658517832,0.00574473916642914,0.00117097351814703,0.007711027624739033,0.003007931363546497,0.0033821503492820503,0.002855268430706147,0.0012264586352719493,0.02243518676593882,0.0025724705769172196,0.0008616379964704041,0.0053452784584631825,0.015392987867664555,0.06259737217788214,0.0034110017734344847,0.0029798673232862964,0.001190172440908812,0.41861018123868904,0.03225766994519068,0.0009939506279883126,0.0013662988845249162,0.0015193160885609049,0.0018120066186409912,0.002559260085064259
