seed,source_factor,receiver_factor,B_ij,B_ji,antisym_ij,abs_antisym
49,12,31,0.061049122363328934,-0.05919286608695984,0.060120994225144386,0.060120994225144386
49,6,26,0.059457067400217056,-0.05969392508268356,0.05957549624145031,0.05957549624145031
49,8,18,-0.043837133795022964,0.06839945167303085,-0.05611829273402691,0.05611829273402691
49,21,24,-0.030244458466768265,0.07862932235002518,-0.05443689040839672,0.05443689040839672
49,0,4,-0.030638936907052994,0.0770002081990242,-0.0538195725530386,0.0538195725530386
49,12,17,0.04961410164833069,-0.0577227845788002,0.053668443113565445,0.053668443113565445
49,10,15,-0.02031799592077732,0.0867994874715805,-0.05355874169617891,0.05355874169617891
49,6,19,0.03167170658707619,-0.07480287551879883,0.05323729105293751,0.05323729105293751
49,4,31,0.05015106126666069,-0.05591908469796181,0.05303507298231125,0.05303507298231125
49,3,24,-0.06380927562713623,0.04135112836956978,-0.052580201998353004,0.052580201998353004
49,3,17,0.0711836889386177,-0.03323277831077576,0.05220823362469673,0.05220823362469673
49,8,20,-0.022710949182510376,0.08053479343652725,-0.051622871309518814,0.051622871309518814
49,4,24,-0.09014580398797989,0.009758759289979935,-0.04995228163897991,0.04995228163897991
49,7,28,0.02389495261013508,-0.07322391867637634,0.04855943564325571,0.04855943564325571
49,13,27,0.08341795951128006,-0.01311956625431776,0.04826876288279891,0.04826876288279891
49,4,6,0.11225607246160507,0.01661990024149418,0.04781808611005545,0.04781808611005545
49,11,31,0.08568426221609116,-0.00954930018633604,0.0476167812012136,0.0476167812012136
49,1,24,0.09087425470352173,-0.0038366590160876513,0.04735545685980469,0.04735545685980469
49,22,26,0.0687774047255516,-0.025806570425629616,0.04729198757559061,0.04729198757559061
17,4,30,0.05528702214360237,-0.1549019068479538,0.10509446449577808,0.10509446449577808
17,26,31,0.1325702667236328,-0.027019530534744263,0.07979489862918854,0.07979489862918854
17,6,16,-0.0956646203994751,0.06305596232414246,-0.07936029136180878,0.07936029136180878
17,18,31,-0.06562840938568115,0.0914536714553833,-0.07854104042053223,0.07854104042053223
17,0,14,0.1201665997505188,-0.03521289676427841,0.0776897482573986,0.0776897482573986
17,3,21,0.00650065066292882,0.15961550176143646,-0.07655742554925382,0.07655742554925382
17,15,17,0.1446778029203415,-0.006065018940716982,0.07537141093052924,0.07537141093052924
17,8,18,0.019926654174923897,-0.12496950477361679,0.07244807947427034,0.07244807947427034
17,11,30,0.025361578911542892,-0.11859689652919769,0.07197923772037029,0.07197923772037029
17,20,25,0.1127515658736229,-0.02553364634513855,0.06914260610938072,0.06914260610938072
17,1,27,0.1093466505408287,-0.024378078058362007,0.06686236429959536,0.06686236429959536
17,1,16,-0.0760716125369072,0.052879415452480316,-0.06447551399469376,0.06447551399469376
17,21,29,-0.03623166307806969,0.08879256993532181,-0.06251211650669575,0.06251211650669575
17,15,29,-0.05798392370343208,0.05982291325926781,-0.058903418481349945,0.058903418481349945
17,5,17,0.059702858328819275,-0.05739014223217964,0.05854650028049946,0.05854650028049946
17,1,31,-0.10771609842777252,0.009043443016707897,-0.05837977072224021,0.05837977072224021
17,11,23,-0.07612781971693039,0.039444275200366974,-0.05778604745864868,0.05778604745864868
17,14,15,-0.07073262333869934,0.041494112461805344,-0.05611336790025234,0.05611336790025234
17,6,28,0.08584699779748917,-0.02539336308836937,0.05562018044292927,0.05562018044292927
17,5,30,0.0005756141617894173,-0.10910065472126007,0.054838134441524744,0.054838134441524744
17,7,25,-0.1011618822813034,0.008310167118906975,-0.05473602470010519,0.05473602470010519
17,4,9,0.05525457486510277,-0.05404685065150261,0.05465071275830269,0.05465071275830269
17,18,20,-0.07745403796434402,0.029400525614619255,-0.05342728178948164,0.05342728178948164
17,12,28,0.09393399208784103,-0.012859444133937359,0.053396718110889196,0.053396718110889196
17,15,26,-0.07119148969650269,0.0350586399435997,-0.05312506482005119,0.05312506482005119
17,23,30,-0.028202304616570473,0.07776039093732834,-0.052981347776949406,0.052981347776949406
17,8,17,0.04946843907237053,-0.05454006418585777,0.05200425162911415,0.05200425162911415
17,19,31,-0.10206686705350876,0.0003569340333342552,-0.05121190054342151,0.05121190054342151
17,18,19,-0.020284779369831085,0.08115233480930328,-0.050718557089567184,0.050718557089567184
17,22,31,-0.03611580654978752,0.06505223363637924,-0.05058402009308338,0.05058402009308338
17,22,30,-0.003521709004417062,0.09740070253610611,-0.050461205770261586,0.050461205770261586
17,16,29,-0.04373589903116226,0.0567593015730381,-0.05024760030210018,0.05024760030210018
79,26,29,0.06735794246196747,-0.07740793377161026,0.07238293811678886,0.07238293811678886
79,22,30,0.07648691534996033,-0.06346337497234344,0.06997514516115189,0.06997514516115189
79,21,26,-0.051391515880823135,0.08361995220184326,-0.0675057340413332,0.0675057340413332
79,14,29,0.08227929472923279,-0.051939718425273895,0.06710950657725334,0.06710950657725334
79,7,29,0.08256079256534576,-0.0441075824201107,0.06333418749272823,0.06333418749272823
79,8,29,0.06606496125459671,-0.05720692500472069,0.0616359431296587,0.0616359431296587
79,10,29,0.06478021293878555,-0.04843182489275932,0.05660601891577244,0.05660601891577244
79,1,13,-0.04198930040001869,0.06917721778154373,-0.05558325909078121,0.05558325909078121
79,3,14,-0.008656595833599567,0.1008424237370491,-0.054749509785324335,0.054749509785324335
79,2,7,-0.013302421197295189,0.09466607868671417,-0.05398424994200468,0.05398424994200468
79,5,22,0.06464194506406784,-0.03976234793663025,0.052202146500349045,0.052202146500349045
79,4,5,-0.03241685777902603,0.07030464708805084,-0.05136075243353844,0.05136075243353844
79,14,30,0.09412066638469696,-0.0063747442327439785,0.05024770530872047,0.05024770530872047
79,2,14,0.035046905279159546,-0.06252335757017136,0.04878513142466545,0.04878513142466545
79,11,13,-0.028344836086034775,0.06834334135055542,-0.0483440887182951,0.0483440887182951
79,22,25,0.07073764503002167,-0.023850534111261368,0.04729408957064152,0.04729408957064152
79,13,20,-0.006501282565295696,0.08622080087661743,-0.046361041720956564,0.046361041720956564
79,19,26,-0.05602559074759483,0.03657917678356171,-0.04630238376557827,0.04630238376557827
79,7,30,0.06608840823173523,-0.02626168169081211,0.04617504496127367,0.04617504496127367
79,11,20,-0.02273346297442913,0.06890641897916794,-0.045819940976798534,0.045819940976798534
79,7,18,0.05780700594186783,-0.03191539645195007,0.04486120119690895,0.04486120119690895
79,29,31,-0.06890109926462173,0.019044317305088043,-0.04397270828485489,0.04397270828485489
79,5,11,0.022260330617427826,-0.06464151293039322,0.04345092177391052,0.04345092177391052
79,17,26,-0.051146045327186584,0.03485216200351715,-0.04299910366535187,0.04299910366535187
79,11,23,-0.045437008142471313,0.04053093492984772,-0.042983971536159515,0.042983971536159515
79,23,29,0.02671547420322895,-0.058376163244247437,0.042545818723738194,0.042545818723738194
79,18,23,-0.012656393460929394,0.07117212563753128,-0.04191425954923034,0.04191425954923034
79,24,29,0.020135635510087013,-0.06241820007562637,0.04127691779285669,0.04127691779285669
79,4,29,-0.05903206765651703,0.02294912375509739,-0.04099059570580721,0.04099059570580721
