,receiver_00,receiver_01,receiver_02,receiver_03,receiver_04,receiver_05,receiver_06,receiver_07,receiver_08,receiver_09,receiver_10,receiver_11,receiver_12,receiver_13,receiver_14,receiver_15,receiver_16,receiver_17,receiver_18,receiver_19,receiver_20,receiver_21,receiver_22,receiver_23,receiver_24,receiver_25,receiver_26,receiver_27,receiver_28,receiver_29,receiver_30,receiver_31
source_10,0.007881327299401164,-0.022725369781255722,-0.022702751914039254,-0.005610851920209825,0.028392400592565536,-0.027545818127691746,-0.017433349043130875,-0.03443337883800268,-0.04234160203486681,-0.018881142284953967,0.0,-0.009206237038597465,-0.012451963499188423,0.021262326277792454,-0.012396642006933689,-0.01292776595801115,0.00465615838766098,0.009976313216611743,-0.019891618750989437,-0.011235506739467382,-0.043023728765547276,-0.036026121117174625,-0.056423322297632694,-0.021613615797832608,-0.013462447794154286,-0.021471897140145302,-0.0011650663800537586,-0.012983408756554127,-0.0001865557860583067,-0.030695060035213828,-0.017071194015443325,-0.015549228992313147
source_11,0.0257972520776093,0.024819842539727688,0.0008975090458989143,0.0694004216347821,0.01776576606789604,-0.017113270238041878,0.040475016459822655,0.0359609603183344,-0.010084545938298106,-0.0029315827414393425,0.009206237038597465,0.0,0.004287963500246406,0.018419236526824534,-0.00972073758020997,0.050052798353135586,0.05589250475168228,-0.00040576234459877014,-0.0051559461280703545,0.03187277726829052,-0.0021780608221888542,-0.02916699182242155,-0.00883194844936952,-0.00956703582778573,0.012000299931969494,0.06053892709314823,0.025000481866300106,0.01671214308589697,0.050029242411255836,-0.04440683498978615,0.0396881066262722,0.00980057381093502
source_12,-0.006464808713644743,-0.014585485449060798,0.049872903153300285,-0.0021288450807332993,0.026908814441412687,-0.017862698063254356,0.005818899255245924,0.04678625613451004,0.010155895724892616,0.011693894863128662,0.012451963499188423,-0.004287963500246406,0.0,-0.005719852400943637,0.02531079202890396,-0.02444844227284193,-0.02295190840959549,-0.04071149602532387,-0.0020617907866835594,-0.02244318276643753,0.0001411221455782652,0.00395725155249238,0.026328159496188164,0.017430711479391903,-0.016892191022634506,-0.04325703007634729,-0.018867282196879387,0.008461417630314827,0.00099925696849823,-0.016279768431559205,-0.01092994213104248,-0.011894695344381034
source_13,0.008562729228287935,0.001638523768633604,0.04564039967954159,-0.008116858312860131,0.0655254740267992,0.018175851553678513,0.019267786294221878,0.06882036104798317,-0.010950414463877678,0.01580789126455784,-0.021262326277792454,-0.018419236526824534,0.005719852400943637,0.0,0.057390064699575305,-0.013104103971272707,-0.022946422919631004,-0.008133113384246826,0.0069374581798911095,-0.044603798538446426,-0.03631063178181648,0.005020821001380682,-0.007336469367146492,0.032437752932310104,0.003928912803530693,0.025131236761808395,-0.027457664953544736,0.015764915850013494,0.039288065396249294,0.001861797645688057,-0.0021271267905831337,0.00801854394376278
source_14,-0.035923148796427995,-0.06077726557850838,0.0012244735844433308,0.0063387097325176,0.04057109449058771,0.006144123151898384,0.009879587218165398,-9.280629456043243e-05,-0.006524897180497646,0.019474292639642954,0.012396642006933689,0.00972073758020997,-0.02531079202890396,-0.057390064699575305,0.0,-0.016280223848298192,-0.011236839462071657,0.008836835622787476,-0.004121061181649566,-0.020950537000317127,0.01276269310619682,-0.0032279295846819878,-0.026998231071047485,-0.06988549046218395,0.03179997391998768,-0.009062603116035461,0.007873188937082887,-0.01618491392582655,-0.02946763625368476,-0.02384880557656288,0.004400564357638359,0.006690122652798891
source_15,0.054706139490008354,0.002605288987979293,-0.031185150844976306,0.019596317724790424,0.01934436647570692,0.022075758315622807,0.009158918634057045,0.017062460305169225,0.019049291033297777,0.03937913849949837,0.01292776595801115,-0.050052798353135586,0.02444844227284193,0.013104103971272707,0.016280223848298192,0.0,0.02431218372657895,-0.0544630941003561,0.0049603963270783424,0.07285072281956673,-0.013868508860468864,0.0482077831402421,-0.031341793946921825,-0.06717624701559544,0.036743651144206524,0.012607874348759651,0.002360638347454369,-0.007847546366974711,-0.008010774618014693,0.024923996068537235,-0.009672634303569794,0.002124725840985775
source_16,0.033919643610715866,0.04496327182278037,0.010154042858630419,0.07316281646490097,0.06883581075817347,0.0018217642791569233,0.07864465937018394,0.03981601446866989,0.013904660008847713,0.026087710866704583,-0.00465615838766098,-0.05589250475168228,0.02295190840959549,0.022946422919631004,0.011236839462071657,-0.02431218372657895,0.0,-0.04446227848529816,0.035774096846580505,-0.019237453623645706,-0.046967899426817894,0.04311748780310154,-4.786951467394829e-05,0.0011908840388059616,0.07715006079524755,0.02436475083231926,0.032566674053668976,0.001173393800854683,0.05513969250023365,-0.02190720196813345,0.00356230977922678,0.02029273670632392
source_17,-0.000957069918513298,-0.013077725656330585,0.004379758611321449,-0.009843137580901384,0.02433623094111681,-0.07883011735975742,0.020258212462067604,0.00042048748582601547,-0.0009032581001520157,-0.03595942445099354,-0.009976313216611743,0.00040576234459877014,0.04071149602532387,0.008133113384246826,-0.008836835622787476,0.0544630941003561,0.04446227848529816,0.0,0.017129429732449353,-0.028357166331261396,-0.0031273686327040195,-0.010190481320023537,-0.03530045971274376,-0.03370213485322893,-0.019901679828763008,-0.03388049779459834,-0.013356147333979607,0.039770221803337336,-0.023487971164286137,-0.00925661443034187,0.04531817138195038,-0.011547827860340476
source_18,-0.0007793931290507317,-0.0892316484823823,0.04588575754314661,0.011614195769652724,0.11003513261675835,-0.019175565568730235,0.0017099585384130478,0.04360729828476906,0.028718586079776287,0.018299958668649197,0.019891618750989437,0.0051559461280703545,0.0020617907866835594,-0.0069374581798911095,0.004121061181649566,-0.0049603963270783424,-0.035774096846580505,-0.017129429732449353,0.0,-0.014699519844725728,0.02595275780186057,-0.04506379191298038,0.005575638264417648,0.0603059371933341,-0.03986429516226053,-0.032658001175150275,-0.023466626182198524,-0.022772513329982758,0.002998895477503538,-0.009904797188937664,-0.0448264554142952,0.010815991088747978
source_19,0.018308509839698672,0.06969889625906944,0.022491490468382835,0.09811409935355186,0.05226714815944433,-0.028624866739846766,0.020080686546862125,0.09177718870341778,0.002769247628748417,0.0329601876437664,0.011235506739467382,-0.03187277726829052,0.02244318276643753,0.044603798538446426,0.020950537000317127,-0.07285072281956673,0.019237453623645706,0.028357166331261396,0.014699519844725728,0.0,0.023052652017213404,0.07357043959200382,-0.01229606382548809,0.02487959573045373,0.024207065245718695,0.005001072771847248,-0.034437960013747215,-0.007405029609799385,-0.00858856551349163,-0.05925098434090614,-0.004479881376028061,0.05442420765757561
source_20,-0.0639397781342268,-0.015222294488921762,0.050639026798307896,0.04884745180606842,0.07860048487782478,0.011710127349942923,0.04386448301374912,0.07106606662273407,0.034452750347554684,0.019993599504232407,0.043023728765547276,0.0021780608221888542,-0.0001411221455782652,0.03631063178181648,-0.01276269310619682,0.013868508860468864,0.046967899426817894,0.0031273686327040195,-0.02595275780186057,-0.023052652017213404,0.0,-0.006452945992350578,0.00990244746208191,-0.004605598747730255,-0.03799804486334324,0.0008222160395234823,0.032559191808104515,0.013356944546103477,-0.045706097851507366,-0.050080482847988605,-0.0020519550889730453,0.0276003819599282
source_21,-0.05069614667445421,-0.017467202618718147,0.06604313850402832,0.07771196588873863,0.13632211741060019,-0.004679982550442219,0.013848891947418451,0.07757797092199326,0.009828105568885803,0.024783725384622812,0.036026121117174625,0.02916699182242155,-0.00395725155249238,-0.005020821001380682,0.0032279295846819878,-0.0482077831402421,-0.04311748780310154,0.010190481320023537,0.04506379191298038,-0.07357043959200382,0.006452945992350578,0.0,-0.0005451887845993042,0.013732898980379105,-0.012106299516744912,0.005340189673006535,0.007273189723491669,-0.03484206832945347,-0.015174685511738062,-0.029348457232117653,0.0054690176621079445,0.021827015094459057
source_22,-0.03972610691562295,-0.03971472568809986,0.024606507271528244,0.03601601207628846,0.03349487739615142,0.020907636731863022,0.02707462530815974,0.04337599687278271,0.005553439259529114,-0.0039701275527477264,0.056423322297632694,0.00883194844936952,-0.026328159496188164,0.007336469367146492,0.026998231071047485,0.031341793946921825,4.786951467394829e-05,0.03530045971274376,-0.005575638264417648,0.01229606382548809,-0.00990244746208191,0.0005451887845993042,0.0,-0.061164009384810925,-0.015242123045027256,-0.022117972373962402,0.011131555802421644,-0.037042020820081234,-0.09138928912580013,-0.0023714012932032347,0.031144368462264538,0.02332468144595623
source_23,-0.07471229508519173,-0.02456580032594502,-0.01017543114721775,0.019007936120033264,0.05146168661303818,0.012573559186421335,0.043138799257576466,0.03943342203274369,0.05412550922483206,-0.008951026946306229,0.021613615797832608,0.00956703582778573,-0.017430711479391903,-0.032437752932310104,0.06988549046218395,0.06717624701559544,-0.0011908840388059616,0.03370213485322893,-0.0603059371933341,-0.02487959573045373,0.004605598747730255,-0.013732898980379105,0.061164009384810925,0.0,-0.01459265872836113,0.0058904364705085754,-0.005108505109092221,-0.035892060957849026,-0.06954103522002697,0.016345610842108727,0.01063369304756634,0.022769516333937645
source_24,-0.039842771366238594,-0.022983253933489323,0.013216759311035275,0.020207361521897838,0.06703916750848293,-0.010229567065834999,0.016788721550256014,0.02147992979735136,0.031886443961411715,0.032471800688654184,0.013462447794154286,-0.012000299931969494,0.016892191022634506,-0.003928912803530693,-0.03179997391998768,-0.036743651144206524,-0.07715006079524755,0.019901679828763008,0.03986429516226053,-0.024207065245718695,0.03799804486334324,0.012106299516744912,0.015242123045027256,0.01459265872836113,0.0,-0.05864979885518551,-0.023442914709448814,-0.015708811581134796,-0.003960413858294487,-0.06550638936460018,0.028740670531988144,0.017506079748272896
source_25,-0.05763237550854683,-0.039168188348412514,0.06767596490681171,0.054689288401277736,-0.01894184947013855,0.017213699407875538,0.039120716974139214,0.06574299931526184,-0.0010737223492469639,0.04470856860280037,0.021471897140145302,-0.06053892709314823,0.04325703007634729,-0.025131236761808395,0.009062603116035461,-0.012607874348759651,-0.02436475083231926,0.03388049779459834,0.032658001175150275,-0.005001072771847248,-0.0008222160395234823,-0.005340189673006535,0.022117972373962402,-0.0058904364705085754,0.05864979885518551,0.0,-0.03728234022855759,0.061419934034347534,0.07364731095731258,-0.020500390324741602,0.07225384190678596,-0.006503078155219555
source_26,-0.016957443673163652,-0.017872752621769905,-0.018331339582800865,0.021535510197281837,0.07481507724151015,-0.004822036768018734,0.011154327541589737,0.06923345103859901,-0.024955304339528084,0.02923407731577754,0.0011650663800537586,-0.025000481866300106,0.018867282196879387,0.027457664953544736,-0.007873188937082887,-0.002360638347454369,-0.032566674053668976,0.013356147333979607,0.023466626182198524,0.034437960013747215,-0.032559191808104515,-0.007273189723491669,-0.011131555802421644,0.005108505109092221,0.023442914709448814,0.03728234022855759,0.0,0.05521019920706749,0.04121728544123471,0.03905034903436899,0.06799084792146459,-0.002275598526466638
source_27,-0.00645633228123188,-0.019518330227583647,0.00046063587069511414,0.017913328018039465,0.04584361892193556,0.029095105826854706,0.007207583403214812,0.05157847469672561,0.02578816283494234,0.034992645494639874,0.012983408756554127,-0.01671214308589697,-0.008461417630314827,-0.015764915850013494,0.01618491392582655,0.007847546366974711,-0.001173393800854683,-0.039770221803337336,0.022772513329982758,0.007405029609799385,-0.013356944546103477,0.03484206832945347,0.037042020820081234,0.035892060957849026,0.015708811581134796,-0.061419934034347534,-0.05521019920706749,0.0,0.04078441113233566,-0.023670120164752007,-0.023159294854849577,0.025887679308652878
source_28,-0.05714377574622631,-0.0470381248742342,0.02111772494390607,0.00970446364954114,0.025255832457332872,0.01865791092859581,0.027220693416893482,0.05574236996471882,0.046934232115745544,0.008541684597730637,0.0001865557860583067,-0.050029242411255836,-0.00099925696849823,-0.039288065396249294,0.02946763625368476,0.008010774618014693,-0.05513969250023365,0.023487971164286137,-0.002998895477503538,0.00858856551349163,0.045706097851507366,0.015174685511738062,0.09138928912580013,0.06954103522002697,0.003960413858294487,-0.07364731095731258,-0.04121728544123471,-0.04078441113233566,0.0,-0.014754977077245712,0.010141056962311268,0.03830065857619047
source_29,0.03201223537325859,-0.01696732174605131,0.004866934381425381,0.03418393898755312,0.052517417003400624,0.047907764033880085,0.00026503391563892365,0.08697820454835892,0.048349421471357346,0.06147733889520168,0.030695060035213828,0.04440683498978615,0.016279768431559205,-0.001861797645688057,0.02384880557656288,-0.024923996068537235,0.02190720196813345,0.00925661443034187,0.009904797188937664,0.05925098434090614,0.050080482847988605,0.029348457232117653,0.0023714012932032347,-0.016345610842108727,0.06550638936460018,0.020500390324741602,-0.03905034903436899,0.023670120164752007,0.014754977077245712,0.0,-0.010334251448512077,0.0199497458525002
