,factor_00,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15,factor_16,factor_17,factor_18,factor_19,factor_20,factor_21,factor_22,factor_23,factor_24,factor_25,factor_26,factor_27,factor_28,factor_29,factor_30,factor_31
sh600035,0.0006718074536884612,0.0011991241172749215,0.00040134801172670765,0.0073018274775976146,0.96757803585302,0.0002714458848672145,0.0006270021516252488,0.002228376731267118,0.001771761081493363,0.001409264072974094,0.00048292285521029266,0.0003611445111316308,0.0031941338780315364,0.0005060419337885466,0.000498459060390435,0.0003483929063875763,0.0002159019433750795,0.0002804808534617111,0.002632533970129404,0.001415806707720085,0.0009167954092110734,0.0004058702633729487,0.0007664810756804022,0.0009429293052796996,0.0008697139531728301,0.00010586751023128633,0.00043563090635182763,0.0007337271179654293,0.0002414158826903342,0.0004318393833266319,0.00022662310571965614,0.0005273054095185253
sh600036,0.00023500046241366803,0.000995075866805335,0.0009029332653608018,0.004953556128844286,0.9690544262390638,0.0005019680774267312,0.00039877864255234344,0.004577074757927948,0.0008382313859695502,0.0012757517843439573,0.00044076968716045824,0.00022446829533808002,0.002067227413798508,0.0007638246455270654,0.0005197741965696126,0.0004103481495198632,0.0007119095923415783,0.00055811230642488,0.0024521361166584717,0.0011127120317390654,0.0008365410530769405,0.0003216040755125309,0.0003761804843746271,0.0007878728151918122,0.0007205782370164658,0.00020693411773804445,0.00047882600394271227,0.00040171918111118457,0.00021975932795010583,0.0012488007638586116,0.0003815278656401908,0.0010255866915083863
sh600037,0.0006064570514539041,0.0019582684537182435,0.001688825601461494,0.012460812721778661,0.9460786632175626,0.00037189159349069247,0.0011010988636574266,0.0025458348863224606,0.002485066490044858,0.0033267408287974078,0.0004957199511142513,0.00038353841146287197,0.003448763279159031,0.0031783184604322417,0.0006892803755210782,0.0003586416231781113,0.0006058295343305638,0.0007488196211961482,0.0041376971452702005,0.0009648290422547697,0.0009360930557535461,0.0010148011108778872,0.0021693993691633434,0.0013582058903223021,0.0015019478958795858,0.0002613987829076158,0.00040655980318383294,0.0019681365874173683,0.00041807545250979093,0.0006489697077132421,0.0007800163130915981,0.0009013057087274579
sh600038,0.000662912323128131,0.003105734079156266,0.001511107460196167,0.011368687176292362,0.946475722777594,0.0005290856855499678,0.0005171606675946742,0.002308620876636992,0.0006343123973149272,0.002440717875914734,0.000533066640405215,0.0005484951179819416,0.009087096782074557,0.0023933420723995565,0.000614348275012204,0.0005217395339059304,0.0015764553429103688,0.0004344795988730939,0.004021378474688526,0.0006333391716957354,0.0005504602178242918,0.000745448075194758,0.00219140947515286,0.0010522507377622396,0.0006432193069762216,0.0003339925650449813,0.0003752373133669586,0.0014593241390696778,0.00028842532447795734,0.0008399440202371434,0.0009041492922155435,0.0006983449125659688
sh600048,0.0009090176077303734,0.002528724716410505,0.00246234172714458,0.010828607089700118,0.9423299991064775,0.0005210630101510187,0.0003571977059812285,0.0037789522480547464,0.0009168672334721111,0.005418665095816488,0.0005013958671337981,0.00041350045745468375,0.004682380893403502,0.0017496149405365434,0.0006607733300123364,0.0006468014113448063,0.0013845722177172502,0.0008100415862879057,0.0053106756100168555,0.0012463409172137597,0.0006998153179944838,0.0006698440943182311,0.0026534464949866396,0.0013989544565207567,0.001970810423025605,0.00044753222826804915,0.0006514792891991293,0.00087662098054264,0.0003146956428035243,0.001193044542879711,0.0010027211221867172,0.0006635139235867445
sh600050,0.0006383918280735193,0.002742491390774568,0.0011381414933153411,0.026169883771862065,0.9384112605122492,0.00043982559414374595,0.000634973651889252,0.003404808523350295,0.0009372010683009332,0.0009791256747121798,0.0005926629069957657,0.0002661679200324707,0.0031909216382362974,0.0008380229425780007,0.0010239221962396637,0.0006422270651063193,0.0007768387175824698,0.0005096133413861928,0.0072120684497471565,0.0008127117645799617,0.0004901103753454437,0.00040137015862120917,0.0008465480826554919,0.001587986621068533,0.0006634990517495568,0.00048762192612393973,0.0003136896589391198,0.0016990937827706992,0.0003340525249455684,0.0009569462860937488,0.00045808417130351417,0.0003997422320794481
sh600058,0.000832023894074433,0.003044320326993007,0.0025552699818722846,0.02202431624736541,0.9339277469959963,0.0005729735055360307,0.0008141516230709346,0.0057758055401881765,0.0012146915212448409,0.002101940038319489,0.0008062064157799457,0.0004877865668981168,0.006585719534978812,0.0011552635051243765,0.0008063389266090323,0.0006632865085642718,0.001074200499019406,0.0007085102275774486,0.0029435330475779927,0.0009125782760110754,0.0008950505934305328,0.0006065603566525063,0.0015553507137154885,0.0009471998152275954,0.0005440661867581016,0.0003135652354567409,0.00020196256412208168,0.0020051838841605462,0.0006841461673405791,0.0011608579785722846,0.0011563102244887683,0.0009230948424784759
sh600060,0.00017701114672955055,0.0009012176586600172,0.0008753989969703858,0.011244450147036233,0.971674973882079,0.00032338118115958654,0.00028038720296900483,0.002240128748466719,0.0004561977238592794,0.0004937962292280931,0.0002268532987962213,0.00010039925975940053,0.0012047590970097736,0.0002267257213238804,0.0002079916745304747,0.0001888658127408819,0.00011698697445293342,0.00028621234896900234,0.0030198553768802194,0.00023494000948902632,0.0010162151699312828,0.0004334500589189269,0.0013630614295194162,0.00037236033279704564,0.0007816027510078681,7.408992430235536e-05,0.0003894063185630129,0.0002381330513586735,0.00010012412448561614,0.00028080804657188845,0.0002970032944373261,0.0001732236671432623
sh600061,0.0006282198023919478,0.0028009167874046875,0.0010274489163242452,0.0029666009162820357,0.966875209888491,0.00025534757539509995,0.0005503822858510515,0.0018729152790114753,0.0006615258581246455,0.0015286980657083977,0.0008009621683337008,0.0005504319895788502,0.00737462333255664,0.001530962682255122,0.0004525697665986989,0.00026634448614233793,0.0009054187724766336,0.0006796774059045047,0.0017236377743978211,0.0011400960934713333,0.00045455994590521656,0.00042806974600809763,0.0004134619562188192,0.0005829809549713992,0.0007706928591585626,0.00045402667261160206,0.00014175248814620958,0.00037249980035737265,0.00027471655089325646,0.000702239904689444,0.00034901775478631653,0.000463999771243527
sh600062,0.0005911792633361469,0.0016673253123471864,0.0021273094022422646,0.05055226164464725,0.893396509046063,0.00039738010676748577,0.00047840148300219113,0.007359710519685809,0.0008356083354911565,0.0015685295166602737,0.0004372664645627373,0.00032483831051208695,0.004238908758787628,0.002968927769594899,0.00045599798483028224,0.0013992264221954456,0.0035882032736893094,0.00046406168350450434,0.0074483121615578456,0.0008142760736325368,0.0005505083858905963,0.0018087932583351863,0.009204193718943677,0.0006922932800804061,0.0006899974721355338,0.0002288472538492746,0.0002002337366470523,0.0024121916350537762,0.0008111877420526604,0.00034165191221137767,0.0014727138318930586,0.000473161668944038
sh600066,0.0003111415904514083,0.0009231388241383226,0.0005085080183005597,0.03696960326861146,0.936817772003077,0.00014215739924023404,0.0002638161731351402,0.0032935069231629184,0.0002728456117940779,0.0022547225724236456,0.00020556773299487699,0.00024157717664064884,0.001351154764184754,0.00044656256019500693,0.0002106695551706718,0.00016799900189244727,0.0015119033533900603,0.000461459799725261,0.006507059377210142,0.0008826047395982917,0.00041881147853280203,0.0006439947972731285,0.000264773097740692,0.00044766170399109645,0.002943225670818897,9.650808345189487e-05,0.0002831217987949834,0.0004282446344839233,5.328477310929539e-05,0.00023832892391971789,0.00018440141659145247,0.00025388571722505937
sh600079,0.00028128987273726765,0.0009319885702414102,0.0022401772476595425,0.01699954769383251,0.9469600864629782,0.0005982112379391717,0.0003307335542030923,0.009316673192042855,0.0007959864245845699,0.0013899344367032855,0.00022466539374990118,0.00017048466502989876,0.002314123359019596,0.0009641476533961221,0.0007691578454182984,0.00039394366819326673,0.0003250313008000924,0.0009641108957320227,0.004816824744987548,0.00027580292985227803,0.001456757247918152,0.0006297706240009322,0.0009630100607000591,0.0012713409036951453,0.0007944192846734092,0.00015266423639541553,0.0003266067185909716,0.0012641141931982714,0.00018447087946489742,0.0007092062667253154,0.0004556937371661284,0.0007290320608453581
sh600085,0.0005157586863980092,0.0018258546490548622,0.0021529100083354713,0.007949081232397627,0.9438045929540683,0.000546601436426528,0.0007844603245961274,0.011099675757083989,0.0010118300690894141,0.0011782859211888733,0.0006147436432857203,0.0005338592332765203,0.005257934267070063,0.0013968407012355686,0.0008940091494330918,0.0004887381487642887,0.000814143142239326,0.0013783700317255214,0.00430470712938672,0.0005801837825687841,0.0014999227602252164,0.0006039078798409926,0.0010794123296703588,0.0016136412647139245,0.0022393994522376557,0.00038299828460234783,0.00041263340308308013,0.0013278634986629127,0.00062205084416838,0.0015264552620659992,0.0005345535093986911,0.0010245908014396075
sh600088,0.0012462824916638336,0.0015712910546544065,0.002926630976348993,0.04874344215064762,0.8791680752669443,0.001195280226985234,0.0005439114086621847,0.012224650652410678,0.0007637399455777996,0.004717111920920299,0.0004412412003657843,0.0003640186158000257,0.00772343975349222,0.0031090942496044306,0.00037744880941089417,0.0006862454241772584,0.002144530624892112,0.0010297911842964136,0.010707920297550912,0.0009370223436918154,0.0005623284582835804,0.0006022824751312392,0.0025970987297228043,0.0009503026737186688,0.0006931590091259947,0.0003457468785272179,0.0005634180546963388,0.004242587853658348,0.003720913402958762,0.0004286213163201859,0.004120673915206196,0.0005517042110646988
sh600089,0.0008448468457812635,0.0028466069164172544,0.0020027122454547614,0.010653209894881055,0.9483731259176913,0.0005261295481068722,0.0005845316383235646,0.004515845017556347,0.0008547382484845506,0.0023167285601290916,0.000984005767307667,0.0005427781819936926,0.006082927038971979,0.001874663666711528,0.0006965251618383406,0.0006179599422297178,0.0008425868765745893,0.0010952564306507587,0.0020926239793085427,0.0011444549132841632,0.0005769154562950352,0.0005881574695383762,0.001712036928388678,0.0015886338371691067,0.0007680458199184522,0.0005646271633404981,0.00030713559066027475,0.0013186031237508306,0.0005612065204283148,0.0010978540773511124,0.0007911142636728469,0.0006334202757128859
sh600096,0.0006118414886437033,0.0014361052011318417,0.0021360369193504543,0.025533226465107844,0.9311183575755851,0.00034973934411587567,0.00028399410243821555,0.005396506446323633,0.0006296660723539251,0.004979557864396328,0.0004489555524019298,0.0003654418922577036,0.007228840270228118,0.0015367736200770352,0.000184847144769601,0.00031312193592873124,0.0015572284730306783,0.0007360540794872906,0.0033751061648379303,0.0007775234336424871,0.0008313172660857481,0.000628668146533523,0.003462778963441272,0.0006710906372305611,0.0006819169210694176,0.00022230373008740162,0.0002552762389320173,0.0009778542481090687,0.0001813012094745132,0.0009485370318055006,0.0016334253606298422,0.0005066131173269605
sh600098,0.000431622212642568,0.0010800943351954632,0.0011935063162753922,0.012496029028245445,0.957308638072084,0.0002846454870895921,0.0006586577496797394,0.002113953390393175,0.0012209030636918356,0.0016504203774414708,0.0007143337057643348,0.000517784048216689,0.004055597949650297,0.0012008490659897364,0.00042910004536086347,0.0002334326060753992,0.0005804788578267292,0.0005828999017823422,0.0027512111477972175,0.0022760423158799097,0.0012684397420139758,0.0004862028445176066,0.0005113544142776775,0.0009423772689275203,0.0013116292069560841,0.00029364625056263867,0.0002877836602087017,0.0005207996296835747,0.000420119710676065,0.0008512078227280798,0.0005469793152397458,0.0007792695306792734
